distance_km,delivery_time,traffic_level,weather,rider_workload,delay
7,8,2,1,0,0
4,2,2,1,2,1
19,9,2,1,2,1
13,10,1,2,2,1
1,17,0,0,0,0
6,10,0,1,2,0
14,18,2,1,2,1
15,14,1,1,2,1
10,1,2,1,2,1
12,18,2,0,1,0
2,14,1,0,2,1
4,9,2,1,2,1
1,2,0,0,1,0
6,3,1,2,2,1
2,10,0,0,0,0
9,5,2,2,2,1
20,2,0,1,0,0
4,14,0,1,1,1
11,4,2,2,0,1
18,2,2,2,0,1
12,7,2,2,2,1
8,15,2,1,1,1
17,18,0,1,1,0
18,5,0,0,2,0
8,17,2,0,0,0
12,16,0,2,1,0
10,14,1,0,0,0
3,2,1,0,1,0
16,2,1,0,2,0
1,4,0,0,2,1
5,3,0,1,2,0
15,18,0,2,1,0
20,10,0,1,0,0
4,1,2,2,1,1
10,7,0,1,2,0
8,7,1,2,1,1
14,11,0,1,2,0
19,17,1,0,1,0
4,16,1,1,2,1
5,12,0,1,0,0
7,17,0,0,2,0
4,14,2,2,2,1
8,6,0,2,1,0
14,9,2,1,2,1
11,11,1,1,2,1
14,1,2,0,2,1
16,8,2,2,0,1
17,7,0,2,0,0
3,9,1,2,1,1
19,10,2,0,2,1
15,4,0,1,2,0
20,10,1,2,0,0
10,18,2,1,1,1
12,6,0,2,2,1
17,3,1,2,1,1
19,5,2,2,1,1
6,16,2,1,2,1
2,5,1,2,0,1
7,11,0,0,0,0
7,2,1,0,1,0
11,5,2,0,1,0
20,1,1,2,0,0
16,16,0,1,1,0
19,1,2,2,0,1
9,1,2,1,0,0
11,11,0,2,2,1
10,5,2,1,1,1
2,18,2,0,1,1
18,14,0,2,2,1
17,11,0,2,2,1
9,7,0,0,0,0
3,4,1,2,0,0
16,9,1,1,0,0
8,7,2,2,2,1
1,2,1,0,0,0
10,5,2,0,0,0
2,11,2,0,0,1
17,6,0,1,1,0
9,18,1,1,2,1
9,1,2,0,1,0
13,16,1,1,1,0
10,4,1,0,2,0
3,11,2,1,1,1
10,11,0,2,1,0
9,4,2,2,0,1
1,16,1,0,2,1
2,16,0,0,2,1
12,18,2,1,2,1
5,17,1,2,1,1
15,6,1,1,2,1
9,17,1,1,1,1
19,17,2,0,0,0
8,5,1,0,1,0
13,6,0,0,1,0
12,14,0,2,0,0
14,15,2,2,1,1
9,8,2,1,0,0
8,11,1,1,0,0
20,12,2,1,2,1
13,11,0,2,2,1
1,14,2,1,2,1
9,1,0,0,1,0
20,18,1,0,0,0
3,5,1,0,0,0
3,3,0,1,0,0
2,17,1,2,0,1
6,6,1,2,2,1
10,17,0,0,0,0
9,10,2,1,1,1
7,5,0,2,1,0
15,2,1,2,2,1
13,17,0,0,2,0
8,18,1,2,0,1
19,12,1,0,0,0
12,8,2,1,1,1
2,2,1,0,2,0
3,16,2,0,2,1
11,18,1,2,0,0
6,8,1,2,2,1
13,1,1,0,1,0
9,2,2,1,0,0
13,16,1,2,1,1
7,1,0,0,1,0
15,6,0,0,1,0
6,15,2,2,0,1
7,14,2,0,1,1
7,7,2,1,2,1
4,6,2,2,1,1
16,8,2,0,1,0
5,8,2,0,1,0
15,6,0,2,2,1
20,5,1,1,2,1
15,15,0,1,2,0
8,18,1,1,2,1
8,16,1,1,1,1
16,3,1,0,2,0
11,5,2,1,2,1
8,1,2,1,2,1
3,6,1,1,1,1
8,4,0,1,2,0
20,15,1,1,1,0
4,14,1,1,2,1
9,5,0,1,1,0
17,4,0,0,0,0
17,18,0,1,1,0
17,11,2,1,0,0
11,12,1,2,2,1
18,5,1,1,0,0
10,14,0,0,0,0
13,13,1,2,0,0
14,1,1,0,1,0
3,16,0,2,1,1
10,15,1,2,1,1
2,15,1,2,0,1
17,15,0,1,2,0
20,17,2,2,2,1
5,6,2,0,1,0
9,18,2,0,0,0
10,8,2,1,0,0
5,17,0,0,0,0
20,7,2,1,1,1
9,8,0,1,1,0
11,17,0,1,1,0
2,2,1,1,0,0
9,3,2,2,1,1
14,6,1,2,1,1
19,10,1,2,2,1
14,3,2,0,0,0
4,15,0,1,2,1
16,16,2,0,0,0
5,7,0,0,1,0
6,2,2,2,0,1
3,2,2,0,2,1
15,2,2,1,1,1
19,16,1,2,1,1
16,1,1,1,1,0
4,15,1,0,2,1
8,16,0,2,0,0
9,14,1,1,1,0
4,17,0,1,1,1
19,2,1,2,2,1
14,2,1,1,0,0
15,17,0,2,0,0
10,9,0,0,1,0
16,11,2,2,0,1
11,14,2,0,2,1
3,12,2,1,2,1
12,17,0,2,0,0
3,2,2,2,2,1
7,3,1,1,0,0
14,8,1,2,2,1
16,6,0,1,2,0
12,17,0,0,0,0
15,1,1,1,1,0
14,11,1,0,0,0
16,11,0,1,0,0
14,5,0,0,2,0
4,16,2,0,1,1
1,13,2,0,2,1
19,17,2,1,2,1
18,5,0,0,2,0
10,18,1,2,1,1
1,16,0,0,2,1
15,17,1,0,0,0
9,6,0,1,1,0
3,15,1,0,1,1
13,5,1,0,2,0
6,4,2,2,0,1
6,15,0,1,0,0
6,8,0,1,1,0
17,13,1,2,1,1
12,7,2,0,0,0
7,5,2,0,1,0
6,2,2,2,2,1
10,6,0,0,1,0
10,4,1,0,1,0
10,6,0,1,2,0
19,14,0,1,1,0
16,9,0,2,0,0
5,7,2,1,0,0
11,14,1,0,0,0
5,18,0,1,1,1
